,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16,Site 17,Site 18,Site 19,Site 20,Site 21,Site 22,Site 23,Site 24,Site 25,Site 26,Site 27,Site 28,Site 29,Site 30,Site 31,Site 32,Site 33,Site 34,Site 35,Site 36,Site 37,Site 38,Site 39,Site 40,Site 41,Site 42,Site 43,Site 44,Site 45,Site 46,Site 47,Site 48,Site 49,Site 50
Jaaginema subtilissimum,0.182526075,0,22.46665106,12.88276335,1.770623244,0.046400374,0,3.097805849,0,0.291616039,0,37.51233959,6.87960688,100,0,0,0,47.38780876,0.806740195,8.783701354,0,0,11.96792104,5.464480874,0,0,0,0.035694645,0,0,0,0,6.271777003,9.976798144,3.578453329,0,0,7.661795407,0,0,0,0,0,0,0,0,0,0,0,0
Komvophoron constrictum,84.31136096,77.01738064,0,3.30470886,0.147551937,6.659062349,10.23993669,0,0,0,0,11.84600197,88.6977887,0,1.287846572,4.436711614,0,0,0.633867296,0,0,3.287671233,4.441702653,6.010928962,0.374660359,0.123690127,0,0,0,0,0,0,0,47.5638051,0.292118639,0.034699846,0.157778881,0.003795787,0,0,0,0,59.82241953,10.1910828,3.883495146,0,0.574211981,12.48945148,6.489184692,0
Merismopedia glauca,0.486736201,0,0,0,19.87032752,8.258725371,0.457163088,6.195611698,11.91489362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.107658158,0,0,0,0,0,0,0
Merismopedia tenuissima,0,0,0,0,7.475964809,71.42681402,76.42154094,3.872257311,27.72036474,2.916160389,0,0,0,0,0,0,0,0,0,3.903867269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.16559232,78.35721013,67.18326526,22.79749478,81.24983169,44.41640379,0,0,0,0,0,24.24242424,0,0,0,3.066602779
Microcystis aeruginosa,0,0,0,0,0,1.116043969,0.335729143,0,0,0,0,0,0,0,0,0,0,0,0,0,94.71686986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05421899,0.183413473,0.865239022,0.270687037,0.55705377,40.15322217,96.58255757,0,0,0,0,0,0.178914337,0,0,0
Phormidium breve,10.14084453,2.9214,4.680552305,11.94736271,0.028405797,0,0,0,0,0.972053463,0,0,0,0,0,0,0,0,0,0,0,0,14.80567551,10.24590164,0.070147331,0,0.020134336,0.229939921,0.069291266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phormidium tenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49315068,24.67612585,46.44808743,0.039836756,0.052481605,0.026706443,0,0,0,0,81.05263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098356049,0,0,0
Planktothrix agardhii,0,0,0,0,0,0,0,67.28047079,0,20.17010936,0,0,0,0,0.847267481,0,0,1.314502323,0,10.97962669,0.256400395,0,0,0,0,0,0.026706443,0.380189472,0,0,0,0,0,11.60092807,0.04979295,0,0,0,0,0.045065345,0,0,12.43063263,0,13.10679612,15.90909091,0.110533464,0,11.98003328,2.395783421
Pseudoanabaena catenata,1.064735439,0,0,0,0.136075675,0,0.014286346,0,0,0,0,0,0,0,0.031703209,0.695954763,0,8.872890682,0.403370098,0,0,0,0,0,0.003464066,0,0,0,0.006929127,0,0,2.105263158,0,0,0,0.013632082,0,0.584551148,0,0.495718792,0.318471338,0,5.216426193,5.095541401,17.96116505,0,0.160179851,2.109704641,0,1.485385721
Euglena acus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023223,0,0,0,0,0,0,0,0.000553255,0,0,0,0,0,0,0,0.110987791,0,0,0,0.000936724,0,0,0
Euglena limnophila,0.030421013,0.097380296,0.234027615,0,0,0,0,0,0,0,0,0,0,0,0,0.043497173,0,0,0.0576243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinastrum fluviatile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007493794,0,0,0.670819358
Actinastrum hantzschii,0,0,0,0,0,0,0.0267869,0.774451462,0.668693009,0.194410693,0,0,0.982800983,0,0,0,0,0,0.230497199,0,0,0,0,0,0,0,0.002322299,0,0.003233592,0.017862825,0,0,0,0,0.389491519,0,0.053441234,0,0,0,0,0,0.443951165,0,1.941747573,0,0.010303967,0,0,1.485385721
Binnuclearia  eriensis,0,0,0.936110461,0,0.295103874,0,0,0,0,0.972053463,0,0,0,0,0,0,0,0,0,0,0.205120316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closterium acutum,0,0,0.234027615,0,0,0.005800047,0.014286346,0.003773251,0.486322188,0.024301337,0,0,0,0,0,0,0,0,0.086436449,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,0,0,0.000553255,0,0,0,0,0,0,0,0,0,0,0,0.001873449,0.084388186,0,0
