,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16,Site 17,Site 18,Site 19,Site 20,Site 21,Site 22,Site 23,Site 24,Site 25,Site 26,Site 27,Site 28,Site 29,Site 30,Site 31,Site 32,Site 33,Site 34,Site 35,Site 36,Site 37,Site 38,Site 39,Site 40,Site 41,Site 42,Site 43,Site 44,Site 45,Site 46,Site 47,Site 48,Site 49,Site 50
Pandorina morum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.510638298,0,0.460994397,0,0,0,0,0,0,0,0,0.007470972,0,0,0,4.210526316,0,0,0.011618355,0,0.651474087,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctonema lauterbornii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.662229617,0
Scenedesmus acuminatus,0.182526075,0,0,0,0.006803784,0.023200187,0.02142952,0.015093003,0.364741641,0,0,0,0,0,0.042270945,0,1.063829787,0,0.230497199,0,0,0,0,0,0,0,0.005805748,0,0.003695534,0,0,0,0,0,0.09737288,0,0.010179283,0.01138736,0.012310581,0.108156827,0,0,0,0,0,0,0.010303967,1.35021097,1.331114809,1.916626737
S. dimorphus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.775804661,0,0,0,0.029975177,2.362869198,0.665557404,0.574988021
S. ecornis,0,0,0,0,0.006803784,0,0,0.015093003,0.364741641,0,0,0,0,0,0.021135472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004465706,0,0,0,0,0,0,0,0.003795787,0,0,0,0,0,0,0,0,0,0.337552743,0,0
S. intermedius,0,0,0,0,0.006803784,1.636864488,0.549795259,0.193612866,0.729483283,0,0,0,0,0,0.052838681,0,0,0,0.460994397,0,0,0,0,0,0,0,0,0.003320432,0,0,0,4.210526316,0,0.928074246,0.010102436,0.019828484,0.020358565,0.024672613,0,0.036052276,0,0,0.887902331,0,0,0,0.014987588,3.037974684,1.830282862,1.149976042
Scenedesmus i. var. acaudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010102436,0,0.007634462,0,0.024621161,0,0,0,0.887902331,0,0,0,0.003746897,1.012658228,0.665557404,2.299952084
S. nanus,0,0,0,0,0.006803784,0.372014656,0.068724407,0,0,0,0,0,0,0,0,0,0,0,0.0576243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09737288,0.004957121,0.010179283,0.000948947,0,0,0,0,0,0,0,0,0.005620346,0.506329114,0,1.341638716
S. quadricauda,0.060842025,0,0,0,0.013607568,0.148805863,0.028572693,0.030186006,0.972644377,0,0,0,0,0,0.010567736,0,4.255319149,0.07871729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010102436,0.019828484,0.04071713,0.250521921,0,0.018026138,0,0,0,0,0,0,0,0.675105485,0.665557404,0.383325347
Schroederia setigera,0.015210506,0,0,0,0,0,0,0,0,0.024301337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023223,0,0,0.002232853,0,0,0,0,0.000553255,0,0.002544821,0.00284684,0,0,0,0.276243094,0.110987791,0,0,0,0.011240691,0.337552743,0,0.047915668
Tetrastrum glabrum,0.060842025,0.194760592,0,2.6885767,0.098367958,0,0.007143173,0.193612866,0.972644377,0,0,0,0,0,0.047554813,0,0,0,0.115248599,0,0,0,0,0,0,0.003699144,0,0,0.004157476,0,0,0,0,0,0.040409745,0,0,0.003795787,0.001538823,0,0,0,0,0,1.941747573,0,0.014987588,0.337552743,0,2.683277432
Actinocyclus normanii,0,0,0,0,0.001700946,0,0.001785793,0.145209649,0.121580547,0.194410693,0,0,0,0,0.042270945,0.391474554,6.914893617,0.019679323,14.04487303,1.951933634,0,0,0.370141888,0,0.003464066,0.000231196,0,0.065578533,0.107632433,0.284130555,5.555555556,0,0,0,1.022415237,1.744906558,4.08698197,0.208768267,1.895829406,0.297431275,0.061244488,3.038674033,0.332963374,2.547770701,0.970873786,3.03030303,0.001873449,0.506329114,2.662229617,1.197891711
Aulacoseira ambigua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003320432,0,0,0,0,0,0,0,0,0,0,0,0,0,2.486187845,0,0,0,12.87878788,0,0,0,0
A. distans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135416386,0,0,0,0,5.095541401,0,0,0,0,0,0
A. granulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.095890411,22.94879704,0,0.029444559,0.035373064,0.018810625,0.059767777,0.009700777,0.100478389,0,0,0,0,0,0,0,0,0,0,0,4.143646409,0,0,0.970873786,0,0,0,0,1.389554384
A. granulata var. angustissima,0,0,0.234027615,0,0,0,0,0,0,0,0,5.923000987,0,0,0,0,0,0,0.0576243,0,0,0,0,0,0,0,0.00139338,0.002490324,0,0,0,0,0,0,0.09737288,0.27264165,0,0.003795787,1.083331089,0.594862551,0,31.21546961,0.443951165,26.75159236,0,12.12121212,0,1.181434599,2.163061564,5.749880211
Aulacoseira islandica,0,0,0,0,0,0,0,0,0,0,0,32.57650543,3.194103194,0,0,0,0.265957447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclotella meneghiniana,0,0,0,0.112024029,0.319695864,0.223208794,0.206173222,0.007546501,8.996960486,3.742405832,0,0,0,0,0.542251188,1.652892562,13.29787234,0.197175348,27.35054222,0.731975113,0.00641001,0,0,0.102459016,0.003031058,0.002600961,0.000812805,0.01867743,0.037879225,0.89928158,7.777777778,0.789473684,0,0,0.967642992,4.195583205,2.183456121,0.377562156,0.592446689,0.793713384,0.008574228,0,0.332963374,2.547770701,0,3.03030303,0,0.253164557,0.499168053,0.239578342
Cyclotella striata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034153005,0.001299025,0.001098183,0.000348345,0.007886026,0.016167962,0.36004756,3.333333333,0.263157895,0,0,0.322547664,0.49385317,1.007748979,0.269619472,0.355468014,0.396011717,0.003674669,0,0,0,0,0,0,0.084388186,0,0
Melosira varians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017862825,0,0,0,0,0,0,0,0,0,0,0,38.95027624,0.443951165,2.547770701,0,0,0,5.063291139,3.660565724,2.204120747
Nitzschia acicularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576243,0,0,0,0,0,0,0,0.00046446,0,0,0,0,0,0,0,0,0,0,0.041753653,0,0,0,0,0,0,0,0,0,0,0,0
N. gracilis,0,0.048690148,0.702082846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000553255,0.00123928,0,0,0.003077645,0,0,0,0,0,0,0,0,0,0,0
Pleurosira laevis,0,0,0,0,0,0,0,0.007546501,0,0,0,0,0,0,0.005283868,0,0,0,0.0576243,0,0.01923003,0,0.123380629,0,0,0,0,0,0,0,0,0,0.696864111,0,0,0,0,0,0,0,0.134737874,0,0,0,0,0,0,0,0,0
Skeletonema spp.,0,0,0,0,6.516877219,0.011600093,0.137448815,0,0,0.048602673,0,0,0,0,89.15988269,91.86602871,21.80851064,1.380227439,14.04487303,0.975966817,0,0,0,0,98.97658508,99.1609879,99.87884564,99.10099302,99.69084547,97.39872616,0,0,0,0,33.109822,12.65057255,19.70709114,0.816094136,9.749979803,0.55430374,0,0,0,0,0,0,0,16.4556962,0,39.9137518
Thalassiosira rudolfi  ,0,0,0,0,0,0,0,0,2.613981763,3.207776428,0,0,0,0,0,0,2.925531915,0,2.956815375,0,0,0,0,0,0,0,0,0,0,0.236682427,16.66666667,0,0,0,0,0,0.010179283,0.000948947,0.473957352,3.965750338,0.195982362,0,0,0,0,0,0,0,0,0.095831337
